frame,t_sec,has_obs,n_joints,bodyHeight,head_p,head_x,head_y,head_z,cSho_p,cSho_x,cSho_y,cSho_z,lSho_p,lSho_x,lSho_y,lSho_z,rSho_p,rSho_x,rSho_y,rSho_z,lElb_p,lElb_x,lElb_y,lElb_z,rElb_p,rElb_x,rElb_y,rElb_z,lWri_p,lWri_x,lWri_y,lWri_z,rWri_p,rWri_x,rWri_y,rWri_z,lHip_p,lHip_x,lHip_y,lHip_z,rHip_p,rHip_x,rHip_y,rHip_z,root_p,root_x,root_y,root_z
488,16.300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,16.567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,16.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512,17.100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,17.367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,17.633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536,17.900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544,18.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552,18.433,1,11,1.8000,1,-0.0872,0.6601,0.0833,1,-0.0756,0.5445,0.0483,1,0.0965,0.5588,0.0607,1,-0.2368,0.4811,0.0449,1,0.2765,0.3061,-0.0018,1,-0.2366,0.1659,0.0742,1,0.3108,0.0797,0.0921,1,-0.0953,-0.0357,0.0988,1,0.1565,0.0000,-0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,0.0000
560,18.700,1,11,1.8000,1,0.3356,0.5822,0.0552,1,0.2775,0.4780,0.0336,1,0.3626,0.3299,0.0628,1,0.1046,0.4807,0.0438,1,0.2724,0.0289,0.1004,1,-0.0942,0.2365,0.0752,1,0.0609,-0.0764,0.1743,1,-0.1144,0.0141,0.1820,1,0.1565,0.0000,0.0000,1,-0.1565,0.0000,-0.0001,1,0.0000,0.0000,0.0000
