frame,t_sec,has_obs,n_joints,bodyHeight,head_p,head_x,head_y,head_z,cSho_p,cSho_x,cSho_y,cSho_z,lSho_p,lSho_x,lSho_y,lSho_z,rSho_p,rSho_x,rSho_y,rSho_z,lElb_p,lElb_x,lElb_y,lElb_z,rElb_p,rElb_x,rElb_y,rElb_z,lWri_p,lWri_x,lWri_y,lWri_z,rWri_p,rWri_x,rWri_y,rWri_z,lHip_p,lHip_x,lHip_y,lHip_z,rHip_p,rHip_x,rHip_y,rHip_z,root_p,root_x,root_y,root_z
153,5.133,1,11,1.8000,1,0.0669,0.6586,0.0992,1,0.0573,0.5467,0.0534,1,0.2267,0.5229,0.0810,1,-0.1133,0.5174,0.0469,1,0.3725,0.2431,0.1053,1,-0.3087,0.2685,0.0502,1,0.2544,0.1899,0.3162,1,-0.3767,0.1639,0.2640,1,0.1565,-0.0000,-0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
156,5.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,5.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,5.433,1,11,1.8000,1,0.0087,0.6692,0.0628,1,0.0133,0.5531,0.0281,1,0.1822,0.5221,0.0505,1,-0.1587,0.5329,0.0293,1,0.3399,0.2502,0.0876,1,-0.2747,0.2400,0.0602,1,0.2736,0.2272,0.3249,1,-0.2472,0.2151,0.3049,1,0.1565,-0.0000,-0.0000,1,-0.1565,0.0000,0.0000,1,0.0000,0.0000,0.0000
165,5.533,1,11,1.8000,1,-0.0087,0.6678,0.0711,1,-0.0003,0.5526,0.0340,1,0.1685,0.5222,0.0582,1,-0.1724,0.5334,0.0316,1,0.3263,0.2500,0.0925,1,-0.2807,0.2363,0.0194,1,0.2445,0.1616,0.3087,1,-0.3093,0.0845,0.2128,1,0.1565,-0.0000,0.0000,1,-0.1565,0.0000,-0.0000,1,0.0000,0.0000,0.0000
168,5.633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,5.733,1,11,1.8000,1,-0.0300,0.6675,0.0698,1,-0.0174,0.5523,0.0337,1,0.1504,0.5177,0.0588,1,-0.1899,0.5363,0.0338,1,0.3079,0.2449,0.0891,1,-0.2190,0.2211,0.0304,1,0.2370,0.1122,0.2857,1,-0.2409,0.0054,0.1497,1,0.1565,-0.0000,-0.0000,1,-0.1565,0.0000,0.0000,1,0.0000,0.0000,0.0000
174,5.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,5.933,1,11,1.8000,1,-0.0302,0.6598,0.1037,1,-0.0212,0.5488,0.0557,1,0.1466,0.5173,0.0845,1,-0.1936,0.5452,0.0396,1,0.2641,0.2241,0.1049,1,-0.3290,0.3453,-0.1651,1,0.1761,0.0087,0.1892,1,-0.3639,0.1384,-0.0338,1,0.1565,0.0000,-0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,-0.0000
180,6.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,6.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,6.233,1,11,1.8000,1,0.0642,0.6558,0.1090,1,0.0516,0.5423,0.0682,1,0.2178,0.5151,0.1086,1,-0.1105,0.4915,0.1021,1,0.3191,0.2686,0.2794,1,-0.2822,0.2550,0.2236,1,0.1634,0.1789,0.4495,1,-0.1975,0.1986,0.4492,1,0.1565,0.0000,-0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
189,6.333,1,11,1.8000,1,0.0731,0.6418,0.1489,1,0.0611,0.5345,0.0936,1,0.2314,0.5134,0.1170,1,-0.1088,0.5167,0.1222,1,0.3028,0.2239,0.2229,1,-0.2191,0.2539,0.2598,1,0.2279,0.0740,0.4051,1,-0.0566,0.2332,0.4454,1,0.1565,0.0000,0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
192,6.433,1,11,1.8000,1,0.2195,0.6174,0.1278,1,0.1810,0.5099,0.0868,1,0.3534,0.5210,0.0993,1,0.0367,0.4614,0.1694,1,0.3536,0.3199,0.3437,1,-0.0142,0.1960,0.3342,1,0.2685,0.2297,0.5579,1,0.1824,0.1159,0.4614,1,0.1565,-0.0000,-0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
195,6.533,1,11,1.8000,1,0.0676,0.6567,0.1010,1,0.0510,0.5382,0.0810,1,0.2222,0.5616,0.0929,1,-0.1111,0.5471,0.1412,1,0.5125,0.6296,0.1989,1,-0.2546,0.3831,0.3707,1,0.6196,0.8519,0.1790,1,-0.1286,0.4766,0.5621,1,0.1565,0.0000,0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
198,6.633,1,11,1.8000,1,0.1479,0.6550,0.0462,1,0.1330,0.5352,0.0350,1,0.3016,0.5496,0.0722,1,-0.0307,0.5505,0.0895,1,0.3953,0.4306,0.3501,1,-0.1648,0.4815,0.3677,1,0.3906,0.3143,0.5685,1,-0.2407,0.7157,0.3426,1,0.1565,-0.0000,-0.0000,1,-0.1565,0.0000,0.0000,1,0.0000,0.0000,0.0000
