frame,t_sec,has_obs,n_joints,bodyHeight,head_p,head_x,head_y,head_z,cSho_p,cSho_x,cSho_y,cSho_z,lSho_p,lSho_x,lSho_y,lSho_z,rSho_p,rSho_x,rSho_y,rSho_z,lElb_p,lElb_x,lElb_y,lElb_z,rElb_p,rElb_x,rElb_y,rElb_z,lWri_p,lWri_x,lWri_y,lWri_z,rWri_p,rWri_x,rWri_y,rWri_z,lHip_p,lHip_x,lHip_y,lHip_z,rHip_p,rHip_x,rHip_y,rHip_z,root_p,root_x,root_y,root_z
72,3.003,1,11,1.8000,1,-0.0395,0.6729,-0.0254,1,-0.0235,0.5527,-0.0228,1,0.1489,0.5373,-0.0288,1,-0.1934,0.5261,-0.0016,1,0.4527,0.5104,-0.1132,1,-0.4340,0.3294,0.0582,1,0.6613,0.6226,-0.0414,1,-0.4132,0.2741,0.2985,1,0.1565,-0.0000,-0.0000,1,-0.1565,0.0000,-0.0000,1,0.0000,0.0000,0.0000
75,3.128,1,11,1.8000,1,0.3218,0.5598,0.1481,1,0.2713,0.4666,0.0892,1,0.4368,0.4169,0.1018,1,0.0995,0.4782,0.1081,1,0.7189,0.2802,0.1452,1,-0.2034,0.3876,0.0942,1,0.7892,0.2327,0.3777,1,-0.2915,0.3097,0.3120,1,0.1565,-0.0000,0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,0.0000
78,3.253,1,11,1.8000,1,0.0693,0.6611,-0.0585,1,0.0814,0.5415,-0.0423,1,0.2546,0.5394,-0.0423,1,-0.0875,0.5269,-0.0072,1,0.5536,0.4937,-0.1356,1,-0.3403,0.3819,0.1163,1,0.7858,0.5788,-0.1444,1,-0.3644,0.3733,0.3625,1,0.1565,0.0000,-0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
81,3.378,1,11,1.8000,1,0.0572,0.6688,-0.0120,1,0.0653,0.5478,-0.0147,1,0.2384,0.5505,-0.0220,1,-0.1052,0.5296,0.0094,1,0.5355,0.5246,-0.1279,1,-0.3777,0.3814,0.0724,1,0.7382,0.6660,-0.1424,1,-0.4322,0.4181,0.3110,1,0.1565,0.0000,-0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,0.0000
84,3.504,1,11,1.8000,1,0.0531,0.6221,0.1958,1,0.0471,0.5219,0.1278,1,0.2200,0.5232,0.1379,1,-0.1220,0.4935,0.1525,1,0.5222,0.4474,0.0821,1,-0.2768,0.2449,0.2725,1,0.6589,0.2666,0.1816,1,-0.1508,0.0552,0.3695,1,0.1565,-0.0000,-0.0000,1,-0.1565,0.0000,0.0000,1,0.0000,0.0000,0.0000
87,3.629,1,11,1.8000,1,-0.0342,0.5779,0.2575,1,-0.0357,0.5016,0.1633,1,0.1368,0.4999,0.1788,1,-0.2070,0.4758,0.1615,1,0.4320,0.3871,0.1956,1,-0.4152,0.2387,0.1859,1,0.5146,0.1620,0.2568,1,-0.3011,0.0254,0.2381,1,0.1565,0.0000,-0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,0.0000
90,3.754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,3.879,1,11,1.8000,1,-0.1009,0.5760,0.2502,1,-0.0973,0.4967,0.1586,1,0.0743,0.4940,0.1822,1,-0.2674,0.4654,0.1683,1,0.3513,0.3558,0.2481,1,-0.4652,0.2283,0.2375,1,0.3931,0.2487,0.4673,1,-0.3548,0.1087,0.4240,1,0.1565,0.0000,-0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,0.0000
96,4.004,1,11,1.8000,1,-0.0400,0.6353,0.1685,1,-0.0301,0.5356,0.1001,1,0.1386,0.5351,0.1393,1,-0.1997,0.5015,0.0903,1,0.3721,0.4160,0.3166,1,-0.4305,0.3096,0.1908,1,0.2646,0.5013,0.5225,1,-0.3732,0.3537,0.4275,1,0.1565,-0.0000,-0.0000,1,-0.1565,0.0000,0.0000,1,0.0000,0.0000,0.0000
99,4.129,1,11,1.8000,1,-0.0501,0.6438,0.1477,1,-0.0380,0.5399,0.0862,1,0.1313,0.5430,0.1229,1,-0.2058,0.4974,0.0803,1,0.3772,0.4378,0.2920,1,-0.4155,0.2914,0.1974,1,0.2459,0.5598,0.4627,1,-0.3507,0.3712,0.4226,1,0.1565,0.0000,0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
