frame,t_sec,total_joints,nose_conf,nose_x,nose_y,lSho_conf,lSho_x,lSho_y,rSho_conf,rSho_x,rSho_y,lElb_conf,lElb_x,lElb_y,rElb_conf,rElb_x,rElb_y,lWri_conf,lWri_x,lWri_y,rWri_conf,rWri_x,rWri_y,lHip_conf,lHip_x,lHip_y,rHip_conf,rHip_x,rHip_y
32,1.335,11,0.697,0.5930,0.5082,0.658,0.6302,0.3738,0.684,0.4189,0.3008,0.629,0.7576,0.2248,0.693,0.2820,0.0740,0.677,0.7340,0.5312,0.805,0.2814,0.3573,0.000,0.0000,1.0000,0.000,0.0000,1.0000
33,1.376,11,0.700,0.5930,0.5089,0.663,0.6279,0.3723,0.671,0.4196,0.2961,0.629,0.7570,0.2305,0.691,0.2792,0.0754,0.685,0.7326,0.5348,0.806,0.2828,0.3599,0.000,0.0000,1.0000,0.000,0.0000,1.0000
34,1.418,12,0.692,0.5950,0.5036,0.683,0.6278,0.3600,0.673,0.4192,0.2863,0.665,0.7592,0.2342,0.678,0.2761,0.0788,0.644,0.7321,0.5419,0.786,0.2829,0.3582,0.000,0.0000,1.0000,0.000,0.0000,1.0000
35,1.460,11,0.855,0.5926,0.4908,0.602,0.6252,0.3497,0.667,0.4200,0.2777,0.670,0.7598,0.2388,0.687,0.2733,0.0814,0.659,0.7338,0.5337,0.786,0.2837,0.3593,0.000,0.0000,1.0000,0.000,0.0000,1.0000
36,1.501,11,0.801,0.5945,0.4885,0.623,0.6241,0.3347,0.662,0.4153,0.2584,0.643,0.7626,0.2473,0.699,0.2675,0.0841,0.680,0.7344,0.5307,0.763,0.2853,0.3590,0.000,0.0000,1.0000,0.000,0.0000,1.0000
37,1.543,12,0.593,0.5966,0.5116,0.613,0.6253,0.3187,0.630,0.4194,0.2469,0.676,0.7652,0.2487,0.699,0.2641,0.0847,0.673,0.7345,0.5321,0.741,0.2861,0.3592,0.000,0.0000,1.0000,0.000,0.0000,1.0000
38,1.585,12,0.665,0.5811,0.5253,0.575,0.6235,0.2980,0.648,0.4208,0.2319,0.685,0.7660,0.2518,0.712,0.2617,0.0899,0.655,0.7333,0.5373,0.736,0.2866,0.3603,0.000,0.0000,1.0000,0.000,0.0000,1.0000
39,1.627,12,0.438,0.5619,0.5222,0.517,0.6265,0.2690,0.676,0.4215,0.2160,0.687,0.7667,0.2543,0.742,0.2584,0.0941,0.657,0.7320,0.5492,0.717,0.2881,0.3678,0.000,0.0000,1.0000,0.000,0.0000,1.0000
40,1.668,12,0.221,0.5607,0.5039,0.542,0.6289,0.2458,0.693,0.4219,0.2012,0.698,0.7686,0.2544,0.744,0.2564,0.0989,0.628,0.7329,0.5480,0.726,0.2890,0.3695,0.000,0.0000,1.0000,0.000,0.0000,1.0000
41,1.710,12,0.357,0.5284,0.4776,0.526,0.6343,0.2198,0.628,0.4232,0.1795,0.699,0.7689,0.2531,0.713,0.2553,0.1025,0.637,0.7302,0.5548,0.771,0.2903,0.3688,0.000,0.0000,1.0000,0.000,0.0000,1.0000
